news,category
Emirates to add one more flight on Dhaka-Dubai route,sections
The Tormented Soul,sections
On DSC Prize for South Asian Literature 2019,sections
Full execution of CHT Accord can brook no delay,sections
Reflecting on the Anti-Terrorism Act 2009,sections
Untreated medical waste: A serious threat to public health,sections
How Alpha Catering turned things around,sections
A glorious day for Dhaka's football ,sections
Philanthropists who touch our hearts,sections
Mobile court demolishes illegal brick kiln in Savar,sections
Chaos at SC over Khaleda’s bail,sections
Three hurt as gas cylinder explodes in Ctg,sections
A Grand Display of Visual Poetry,sections
Dismay overshadows jute sector reforms,sections
Seeing the world through liza’s brushes,sections
Mobile court demolishes illegal brick kiln in Savar,sections
“As both hobby and habit – reading is the best.”,shout
The pointlessness of using difficult words,shout
Why are we glued to our phones?,shout
Dressed for the past,shout
“Reading is an integral part of our curriculum.”,shout
BULLETIN BOARD,shout
WHAT IS A HERO?,shout
Editorial,shout
"SLOW, STEADY AND FUN",shout
Questionable Questions on Facebook,shout
A new wave of theatre in Dhaka,shout
“We read the newspaper every day.”,shout
Capitalizing on Black Friday,bytes
TECH BITS,bytes
VIVO V17 Pro ,bytes
TECH BITS,bytes
A week with the new Oppo A9 2020,bytes
FIFA 20 – finally delivering on the “simulation” promise? ,bytes
The gift of 5000 classic bangla songs,bytes
Compact external gadgets for people on the go,bytes
Four most used video calling apps ,bytes
GoMedKit: Online medicine delivery,bytes
Oneplus 7 Pro: An exquisite rusty katana,bytes
All that’s new with Android 10,bytes
Decorate your home with Eskay,lifestyle
Moments and stories in paintbrushes,lifestyle
Snacks in a jiffy,lifestyle
Workspace that Inspires,lifestyle
My mother’s jewellery,lifestyle
Tales of tradition,lifestyle
Timeless,lifestyle
For the Gaye Holud,lifestyle
Ear wax ,lifestyle
Kidulting: Growing up to grow down,lifestyle
Tete-a-tete with Ellen Johannesen,lifestyle
Food philosophies Of Slow Food and the Mediterranean diet,lifestyle
James Bond faces a deadly villain in ‘No Time To Die’,arts-entertainment
First look of Ranveer Singh starrer ‘Jayeshbhai Jordaar’ out,arts-entertainment
Artist Mahmudul Haque receives Japan’s ‘The Order of the Rising Sun’ honour,arts-entertainment
BITA stages ‘Jaal’ at TIC,arts-entertainment
Rashford brace sinks Spurs,sports
Italian clubs slam ‘Black Friday’,sports
Crisis deepens in SA cricket,sports
Stern test for Pollard’s men,sports
Hazard to miss Clasico,sports
Balbirnie to lead Ireland for WI series,sports
Bangladesh keep slim hopes alive with 1-0 win over Sri Lanka,sports
Bangladesh bowl Maldives out for just six after Nigar's milestone,sports
BBPL opening ceremony tickets to be sold from Friday,sports
"United were better, says beaten Mourinho ",sports
Cricket salvages gold-less day in Kathmandu,sports
Liverpool crush Everton ,sports
The Bangla-loving Japanese,sports
Still calm before the BBPL storm,sports
"Transfers return, uncertainty remains",sports
Former England captain Willis no more,sports
India’s poor fight desperate battle to find work as slowdown bites,business
Opec considers deeper output cuts as global growth slows,business
Huawei cancels new phone launch in Taiwan after China row,business
Listening to the streets: the political economy of climate policy,business
Dev partners should reform process to give assistance,business
Bids for ‘oversubscribed’ Saudi Aramco IPO to conclude,business
Brazil’s economy grows 0.6pc in third quarter,business
German chemical firms see weak growth in 2020,business
India to launch first debt exchange-traded fund,business
Fund diversion fuelled non-performing loans,business
"Why India’s diesel demand is contracting, and what it means",business
Google’s Sundar Pichai named CEO at parent firm Alphabet,business
Star Live,
চক্রান্তকারীরা ভারত-বাংলাদেশের সম্পর্ক বিনষ্ট করতে পারবে না: পররাষ্ট্রমন্ত্রী ,
রুম্পার মৃত্যুর ঘটনায় স্টামফোর্ডের শিক্ষার্থীদের বিক্ষোভ,
বৈধ অস্ত্রের অবৈধ বাজার,
সৃজিত-মিথিলার বিয়ে আজ,
3 human traffickers held in Dhaka,
Manna blasts govt over price hike of essential commodities,
Democrats say Trump impeachment charges must come swiftly,
South Africa's Shamsi brings magic to cricket celebrations,
Genocide case against Myanmar to be heard at highest UN court,
Bangladesh thrash Bhutan with Soumya’s breezy 50,
2 ‘ABT men’ held in Dhaka,
Cinematographer Mahfuzur Rahman passes away,
The ones we can be proud of,
20 years of Adity Mohsin,
Bangladesh thrash Bhutan with Soumya’s breezy 50,
Tales of an avid traveller ,
The ‘world’s first’ AI news anchor goes live in China,
A Grand Display of Visual Poetry,
We like big belts and we cannot lie ,
